# BLASTP 2.12.0+
# Query: CAM1-AT
# Database: /db/arahy.Tifrunner.gnm2.ann1.4K0L.protein.faa.gz
# Fields: query id, subject id, subject sci names, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % query coverage per subject, % query coverage per hsp
# 173 hits found
CAM1-AT	arahy.Tifrunner.gnm2.ann1.ZQI0WQ.1	Arachis hypogaea	83.429	175	3	1	1	175	1	149	1.14e-98	283	100	100
CAM1-AT	arahy.Tifrunner.gnm2.ann1.F8C5M7.1	Arachis hypogaea	83.429	175	3	1	1	175	1	149	1.36e-98	281	100	100
CAM1-AT	arahy.Tifrunner.gnm2.ann1.XYY1GX.1	Arachis hypogaea	83.429	175	3	1	1	175	1	149	1.36e-98	281	100	100
CAM1-AT	arahy.Tifrunner.gnm2.ann1.RIB3VX.1	Arachis hypogaea	83.429	175	3	1	1	175	1	149	1.36e-98	281	100	100
CAM1-AT	arahy.Tifrunner.gnm2.ann1.FKWY5W.1	Arachis hypogaea	83.429	175	3	1	1	175	1	149	1.36e-98	281	100	100
CAM1-AT	arahy.Tifrunner.gnm2.ann1.8XC8E0.1	Arachis hypogaea	83.429	175	3	1	1	175	1	149	1.36e-98	281	100	100
CAM1-AT	arahy.Tifrunner.gnm2.ann1.HJJ4ZR.1	Arachis hypogaea	69.714	175	26	2	1	174	1	149	1.83e-78	231	100	99
CAM1-AT	arahy.Tifrunner.gnm2.ann1.HJJ4ZR.1	Arachis hypogaea	44.737	76	39	1	103	175	1	76	1.39e-11	60.5	100	42
CAM1-AT	arahy.Tifrunner.gnm2.ann1.QAEN9C.1	Arachis hypogaea	69.714	175	26	2	1	174	24	172	3.73e-78	231	100	99
CAM1-AT	arahy.Tifrunner.gnm2.ann1.QAEN9C.1	Arachis hypogaea	44.737	76	39	1	103	175	24	99	2.19e-11	60.5	100	42
CAM1-AT	arahy.Tifrunner.gnm2.ann1.QAEN9C.2	Arachis hypogaea	69.714	175	26	2	1	174	24	172	3.73e-78	231	100	99
CAM1-AT	arahy.Tifrunner.gnm2.ann1.QAEN9C.2	Arachis hypogaea	44.737	76	39	1	103	175	24	99	2.19e-11	60.5	100	42
CAM1-AT	arahy.Tifrunner.gnm2.ann1.GFB1EK.1	Arachis hypogaea	53.216	171	53	2	3	173	4	147	8.41e-57	176	100	98
CAM1-AT	arahy.Tifrunner.gnm2.ann1.GFB1EK.1	Arachis hypogaea	44.156	77	43	0	99	175	1	77	2.19e-13	65.1	100	44
CAM1-AT	arahy.Tifrunner.gnm2.ann1.GFB1EK.1	Arachis hypogaea	30.303	99	43	1	1	99	74	146	3.00e-07	48.5	100	57
CAM1-AT	arahy.Tifrunner.gnm2.ann1.X7R1WQ.1	Arachis hypogaea	53.216	171	53	2	3	173	4	147	8.41e-57	176	100	98
CAM1-AT	arahy.Tifrunner.gnm2.ann1.X7R1WQ.1	Arachis hypogaea	44.156	77	43	0	99	175	1	77	2.19e-13	65.1	100	44
CAM1-AT	arahy.Tifrunner.gnm2.ann1.X7R1WQ.1	Arachis hypogaea	30.303	99	43	1	1	99	74	146	3.00e-07	48.5	100	57
CAM1-AT	arahy.Tifrunner.gnm2.ann1.7IU5QR.1	Arachis hypogaea	48.555	173	62	2	1	173	1	146	2.31e-51	162	100	99
CAM1-AT	arahy.Tifrunner.gnm2.ann1.7IU5QR.1	Arachis hypogaea	50.000	64	32	0	112	175	13	76	3.11e-12	62.0	100	37
CAM1-AT	arahy.Tifrunner.gnm2.ann1.5T97DZ.1	Arachis hypogaea	48.555	173	62	2	1	173	1	146	9.33e-51	160	100	99
